time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-12-29T19:29:26.869Z,-39.3355,-72.0467,107.43,4.8,mww,,37,0.375,1.34,us,us6000d42l,2020-12-30T18:51:21.756Z,"9 km SW of Pucón, Chile",earthquake,5.6,4.4,0.093,11,reviewed,us,us
2020-12-29T17:31:59.249Z,-34.3764,-70.8277,93.21,4.5,mb,,43,0.213,0.91,us,us6000d41f,2020-12-29T19:55:52.119Z,"4 km NE of Rengo, Chile",earthquake,4.4,3.6,0.113,27,reviewed,us,us
2020-12-29T16:29:05.591Z,-24.0208,-67.1268,206.35,4.3,mb,,101,1.436,0.71,us,us6000d40x,2021-01-11T17:24:06.040Z,"84 km WNW of San Antonio de los Cobres, Argentina",earthquake,11,13.2,0.306,4,reviewed,us,us
2020-12-29T14:35:07.823Z,-24.0798,-66.9253,228.43,3.8,ml,,200,1.607,0.19,us,us6000d40h,2020-12-29T15:47:16.040Z,"63 km WNW of San Antonio de los Cobres, Argentina",earthquake,14,14.5,0.069,28,reviewed,us,us
2020-12-29T12:58:12.400Z,-39.4564,-74.9389,10,4.5,mb,,157,1.242,0.59,us,us6000d406,2020-12-29T18:20:57.567Z,"137 km WNW of Corral, Chile",earthquake,4.5,1.9,0.102,28,reviewed,us,us
2020-12-29T06:49:35.510Z,-21.2574,-68.7626,131.42,4.1,mb,,69,0.697,0.45,us,us6000d3xh,2021-01-04T14:05:36.040Z,"133 km N of Calama, Chile",earthquake,7.7,7.6,0.26,4,reviewed,us,us
2020-12-29T06:44:40.520Z,-39.4933,-75.1234,30.24,4.1,mb,,183,1.365,1.42,us,us6000d3xd,2021-01-04T13:50:56.040Z,"151 km WNW of Corral, Chile",earthquake,7.2,8.3,0.198,7,reviewed,us,us
2020-12-29T06:27:53.618Z,-21.4092,-66.7386,254.82,4.3,mb,,74,2.034,0.82,us,us6000d3x7,2021-01-04T13:19:28.040Z,"75 km SW of Atocha, Bolivia",earthquake,9.3,12.7,0.216,6,reviewed,us,us
2020-12-28T15:58:34.274Z,-39.4297,-74.9596,10,4.6,mwr,,146,1.266,0.54,us,us6000d3pv,2021-01-10T21:50:41.040Z,"140 km WNW of Corral, Chile",earthquake,7.7,1.8,,,reviewed,us,guc
2020-12-28T13:03:13.135Z,-39.1561,-74.8059,10,4.4,mb,,191,1.289,0.19,us,us6000d3ny,2020-12-28T14:25:36.040Z,"143 km NW of Corral, Chile",earthquake,4.8,2,0.378,3,reviewed,us,us
2020-12-28T08:51:15.260Z,-39.421,-75.1995,10,3.8,mwr,,190,1.444,0.8,us,us6000d3m3,2021-01-04T08:41:06.040Z,"160 km WNW of Corral, Chile",earthquake,7.6,2,0.098,10,reviewed,us,us
2020-12-28T06:44:07.490Z,-24.6178,-70.5497,44.55,4.4,mb,,172,0.133,0.85,us,us6000d3l7,2020-12-28T07:06:50.040Z,"87 km N of Taltal, Chile",earthquake,7.4,4.4,0.189,8,reviewed,us,us
2020-12-28T06:09:08.548Z,-39.3632,-75.1091,10,4.9,mb,,144,1.398,0.91,us,us6000d3ky,2020-12-28T06:53:34.040Z,"155 km WNW of Corral, Chile",earthquake,6.6,1.9,0.047,142,reviewed,us,us
2020-12-28T03:24:41.553Z,-24.1695,-67.3438,198.22,4.3,mb,,112,1.433,0.78,us,us6000d3k6,2021-01-07T23:06:50.040Z,"104 km W of San Antonio de los Cobres, Argentina",earthquake,8.4,16.9,0.307,3,reviewed,us,us
2020-12-28T02:40:53.338Z,-31.3969,-69.278,122.38,3.4,mb,,102,0.528,1.22,us,us6000d3k3,2021-01-07T22:42:24.040Z,"15 km ESE of Calingasta, Argentina",earthquake,7.5,9.7,0.492,1,reviewed,us,us
2020-12-28T01:05:26.446Z,-39.3191,-74.9358,10,4,mwr,,147,1.294,0.86,us,us6000d3jm,2021-01-07T22:27:44.040Z,"143 km WNW of Corral, Chile",earthquake,6.2,1.9,,,reviewed,us,guc
2020-12-28T00:09:01.754Z,-39.2665,-75.1213,10,4.8,mb,,156,1.446,0.75,us,us6000d3ix,2021-01-01T05:18:18.328Z,"160 km WNW of Corral, Chile",earthquake,5.2,1.7,0.045,156,reviewed,us,us
2020-12-27T22:19:09.266Z,-39.2053,-74.9569,10,4.5,mb,,159,1.362,0.86,us,us6000d3id,2021-01-18T01:32:16.987Z,"151 km WNW of Corral, Chile",earthquake,5.4,1.9,0.18,9,reviewed,us,us
2020-12-27T22:02:37.332Z,-39.3204,-75.1362,10,4.3,mb,,167,1.434,0.58,us,us6000d3ia,2021-01-18T01:24:42.287Z,"159 km WNW of Corral, Chile",earthquake,7.6,1.9,0.218,6,reviewed,us,us
2020-12-27T21:46:59.081Z,-39.8451,-75.2256,10,5,mb,,124,1.385,0.72,us,us6000d6f8,2021-01-14T06:03:11.420Z,"153 km W of Corral, Chile",earthquake,8.3,1.9,0.133,18,reviewed,us,us
2020-12-27T21:45:13.131Z,-39.7089,-75.0785,10,4.8,mb,,121,1.284,0.76,us,us6000d6ez,2021-01-14T06:03:27.786Z,"142 km W of Corral, Chile",earthquake,7.2,1.9,0.149,14,reviewed,us,us
2020-12-27T21:39:14.804Z,-39.3374,-74.9881,10,6.7,mww,,19,1.323,0.63,us,us6000d3i9,2021-01-19T03:40:42.295Z,"146 km WNW of Corral, Chile",earthquake,5.7,1.7,0.048,42,reviewed,us,us
2020-12-27T20:48:36.115Z,-30.6758,-71.7736,33.91,4.8,mb,,83,0.119,0.92,us,us6000d3hy,2020-12-27T21:54:26.889Z,"55 km W of Ovalle, Chile",earthquake,5.9,3.3,0.176,10,reviewed,us,us
2020-12-27T07:35:08.637Z,-22.4335,-67.8049,191.65,4.4,mb,,75,0.62,0.89,us,us6000d3e1,2020-12-27T12:02:19.621Z,"66 km NE of San Pedro de Atacama, Chile",earthquake,8,6.6,0.162,11,reviewed,us,us
2020-12-27T03:28:33.285Z,-61.267,-36.1069,10,4.3,mb,,138,7.006,0.66,us,us6000d6e2,2021-01-22T01:01:44.040Z,"Scotia Sea",earthquake,13.8,1.9,0.188,9,reviewed,us,us
2020-12-27T00:10:03.815Z,-21.2867,-68.5616,135.35,4.2,mb,,57,0.811,0.98,us,us6000d3as,2021-01-08T22:31:55.539Z,"134 km NNE of Calama, Chile",earthquake,5.4,7.2,0.175,9,reviewed,us,us
2020-12-26T06:17:19.830Z,-25.4244,-69.3369,102.43,4.3,mb,,72,1.252,1.01,us,us6000d357,2021-01-10T11:44:08.040Z,"115 km E of Taltal, Chile",earthquake,7.1,9,0.177,9,reviewed,us,us
2020-12-26T04:37:10.035Z,-22.5617,-66.0796,235.27,4.5,mwr,,53,1.976,0.9,us,us6000d34k,2021-01-22T00:02:53.040Z,"43 km WNW of Abra Pampa, Argentina",earthquake,8.1,6.6,,,reviewed,us,guc
2020-12-26T03:18:04.590Z,-23.205,-66.5527,232.5,4.6,mb,,79,1.518,0.98,us,us6000d33y,2020-12-26T03:35:25.040Z,"89 km W of El Aguilar, Argentina",earthquake,6.3,9.1,0.12,21,reviewed,us,us
2020-12-26T02:19:32.643Z,-46.1546,-75.3924,10,4.6,mb,,155,2.219,1.22,us,us6000d33a,2021-01-21T23:47:52.040Z,"214 km WSW of Puerto Chacabuco, Chile",earthquake,7.9,1.9,0.152,13,reviewed,us,us
2020-12-25T21:39:24.682Z,-20.9237,-70.5322,25.43,4.3,mb,,171,0.485,0.27,us,us6000d31b,2021-01-02T22:50:36.758Z,"88 km SSW of Iquique, Chile",earthquake,3.8,7.8,0.2,7,reviewed,us,us
2020-12-25T12:11:21.988Z,-32.1118,-66.7422,32.05,4.9,mb,,81,1.746,1.21,us,us6000d2xr,2020-12-25T12:35:09.040Z,"67 km NNW of Villa General Roca, Argentina",earthquake,4.9,4.6,0.129,19,reviewed,us,us
2020-12-25T09:55:38.959Z,-23.973,-66.7086,197.58,4.4,mb,,76,1.689,1.1,us,us6000d2wh,2020-12-25T10:11:58.040Z,"48 km NW of San Antonio de los Cobres, Argentina",earthquake,8,8.9,0.048,127,reviewed,us,us
2020-12-25T09:37:16.026Z,-22.4332,-68.5578,105.03,4.5,mb,,39,0.623,1.17,us,us6000d2w8,2020-12-25T09:54:34.040Z,"Antofagasta, Chile",earthquake,5.8,8.5,0.075,52,reviewed,us,us
2020-12-25T07:01:30.301Z,-32.1591,-71.5274,46.78,4.4,mwr,,76,0.483,0.62,us,us6000d2v5,2021-01-10T08:08:28.370Z,"42 km NW of La Ligua, Chile",earthquake,4.6,7.6,,,reviewed,us,guc
2020-12-24T15:33:43.796Z,-22.7175,-66.429,273.56,4.1,mb,,51,1.631,1.47,us,us6000d2l2,2021-01-20T19:35:44.040Z,"75 km W of Abra Pampa, Argentina",earthquake,7.2,5.5,0.175,13,reviewed,us,us
2020-12-24T14:15:20.491Z,-31.3583,-72.2076,22.36,4.6,mww,,79,0.84,0.72,us,us6000d2kd,2020-12-24T14:41:17.860Z,"103 km WNW of Illapel, Chile",earthquake,5.5,5.1,0.089,12,reviewed,us,us
2020-12-24T07:20:50.041Z,-23.0432,-69.8434,77.89,4.1,mb,,65,0.381,1.27,us,us6000d2gs,2020-12-24T08:18:44.667Z,"87 km NE of Antofagasta, Chile",earthquake,4.2,4,0.198,7,reviewed,us,us
2020-12-24T04:19:15.089Z,-55.8674,-26.0952,10,5.1,mb,,111,6.177,0.96,us,us6000d2ee,2020-12-28T01:13:34.040Z,"South Sandwich Islands region",earthquake,13.8,1.9,0.104,32,reviewed,us,us
2020-12-24T02:26:00.512Z,-24.2947,-67.1149,168.78,4.3,mb,,84,1.654,0.93,us,us6000d2ds,2020-12-28T01:16:43.040Z,"81 km W of San Antonio de los Cobres, Argentina",earthquake,8.5,8.4,0.108,25,reviewed,us,us
2020-12-23T08:21:21.179Z,-24.1427,-67.0334,221.31,4.2,mb,,83,1.584,0.66,us,us6000d254,2020-12-30T06:49:01.040Z,"73 km W of San Antonio de los Cobres, Argentina",earthquake,11.5,14.8,0.236,5,reviewed,us,us
2020-12-23T03:31:26.611Z,-24.2434,-66.9704,199.81,4.5,mb,,172,1.697,0.36,us,us6000d230,2021-01-07T00:10:01.040Z,"66 km W of San Antonio de los Cobres, Argentina",earthquake,11.9,4.8,0.27,4,reviewed,us,us
2020-12-23T02:40:08.265Z,-55.6803,-27.172,22.26,4.7,mb,,81,5.544,0.62,us,us6000d5rz,2021-01-05T23:41:00.040Z,"South Sandwich Islands region",earthquake,11.5,3.6,0.101,30,reviewed,us,us
2020-12-22T12:45:36.950Z,-32.5034,-70.4969,96.66,4.2,mwr,,100,0.263,0.65,us,us6000d1w0,2021-01-10T06:07:31.777Z,"34 km NE of San Felipe, Chile",earthquake,3.8,5.3,,,reviewed,us,guc
2020-12-22T04:12:13.970Z,-22.8146,-67.5238,200.12,4.1,mb,,66,0.619,0.76,us,us6000d1t4,2020-12-26T04:40:03.040Z,"70 km E of San Pedro de Atacama, Chile",earthquake,9.6,4.1,0.185,8,reviewed,us,us
2020-12-22T02:57:22.681Z,-23.9154,-66.9337,219.25,4.4,mb,,77,1.492,0.62,us,us6000d1su,2020-12-26T03:59:33.040Z,"70 km WNW of San Antonio de los Cobres, Argentina",earthquake,6.7,8,0.13,17,reviewed,us,us
