# Long	Lat	Depth	Mag
-27.525	-56.01	134	5.1
-25.344	-58.883	33	4.8
-52.778	-60.357	10	5
-27.039	-56.067	33	5.1
-27.846	-55.98	154	5.3
-29.529	-59.493	27.9	6.1
-26.098	-59.542	33	5.6
-27.115	-55.891	22.9	5
-71.29	-50.24	33	5
-36.779	-60.797	10	6.3
-36.411	-60.769	10	4.6
-25.949	-55.489	33	4.8
-25.787	-61.241	33	5.3
-26.824	-55.956	33	5.3
-23.137	-58.41	33	5.1
-23.956	-60.261	33	4
-26.624	-56.825	87.5	5.3
-25.575	-57.814	33	5.2
-25.64	-56.372	33	5.5
-25.619	-59.384	33	4.5
-25.496	-58.973	49	5
-21.059	-59.529	10	4.8
